year	country_id	lifeExp	pop	gdpPercap
1992	106	59.461	17861905	3745.640687
1997	106	58.811	20775703	3076.239795
2002	106	57.046	24001816	4390.717312
2007	106	59.545	27499638	4471.061906
1952	107	66.91	2952156	5210.280328
1957	107	68.9	2878220	5599.077872
1962	107	70.29	2830000	6631.597314
1967	107	71.08	2900100	7655.568963
1972	107	71.28	3024400	9530.772896
1977	107	72.03	3271900	11150.98113
1982	107	73.1	3480000	12618.32141
1987	107	74.36	3539900	13872.86652
1992	107	75.467	3557761	17558.81555
1997	107	76.122	3667233	24521.94713
2002	107	77.783	3879155	34077.04939
2007	107	78.885	4109086	40675.99635
1952	109	65.39	1620914	4086.522128
1957	109	67.84	1944401	5385.278451
1962	109	69.39	2310904	7105.630706
1967	109	70.75	2693585	8393.741404
1972	109	71.63	3095893	12786.93223
1977	109	73.06	3495918	13306.61921
1982	109	74.45	3858421	15367.0292
1987	109	75.6	4203148	17122.47986
1992	109	76.93	4936550	18051.52254
1997	109	78.269	5531387	20896.60924
2002	109	79.696	6029529	21905.59514
2007	109	80.745	6426679	25523.2771
1952	110	65.94	47666000	4931.404155
1957	110	67.81	49182000	6248.656232
1962	110	69.24	50843200	8243.58234
1967	110	71.06	52667100	10022.40131
1972	110	72.19	54365564	12269.27378
1977	110	73.48	56059245	14255.98475
1982	110	74.98	56535636	16537.4835
1987	110	76.42	56729703	19207.23482
1992	110	77.44	56840847	22013.64486
1997	110	78.82	57479469	24675.02446
2002	110	80.24	57926999	27968.09817
2007	110	80.546	58147733	28569.7197
1952	111	58.53	1426095	2898.530881
1957	111	62.61	1535090	4756.525781
1962	111	65.61	1665128	5246.107524
1967	111	67.51	1861096	6124.703451
1972	111	69	1997616	7433.889293
1977	111	70.11	2156814	6650.195573
1982	111	71.21	2298309	6068.05135
1987	111	71.77	2326606	6351.237495
1992	111	71.766	2378618	7404.923685
1997	111	72.262	2531311	7121.924704
2002	111	72.047	2664659	6994.774861
2007	111	72.567	2780132	7320.880262
1952	112	63.03	86459025	3216.956347
1957	112	65.5	91563009	4317.694365
1962	112	68.73	95831757	6576.649461
1967	112	71.43	100825279	9847.788607
1972	112	73.42	107188273	14778.78636
1977	112	75.38	113872473	16610.37701
1982	112	77.11	118454974	19384.10571
1987	112	78.67	122091325	22375.94189
1992	112	79.36	124329269	26824.89511
1997	112	80.69	125956499	28816.58499
2002	112	82	127065841	28604.5919
2007	112	82.603	127467972	31656.06806
1952	114	43.158	607914	1546.907807
1957	114	45.669	746559	1886.080591
1962	114	48.126	933559	2348.009158
1967	114	51.629	1255058	2741.796252
1972	114	56.528	1613551	2110.856309
1977	114	61.134	1937652	2852.351568
1982	114	63.739	2347031	4161.415959
1987	114	65.869	2820042	4448.679912
1992	114	68.015	3867409	3431.593647
1997	114	69.772	4526235	3645.379572
2002	114	71.263	5307470	3844.917194
2007	114	72.535	6053193	4519.461171
1952	116	42.27	6464046	853.540919
1957	116	44.686	7454779	944.4383152
1962	116	47.949	8678557	896.9663732
1967	116	50.654	10191512	1056.736457
1972	116	53.559	12044785	1222.359968
1977	116	56.155	14500404	1267.613204
1982	116	58.766	17661452	1348.225791
1987	116	59.339	21198082	1361.936856
1992	116	59.285	25020539	1341.921721
1997	116	54.407	28263827	1360.485021
2002	116	50.992	31386842	1287.514732
2007	116	54.11	35610177	1463.249282
1952	118	50.056	8865488	1088.277758
1957	118	54.081	9411381	1571.134655
1962	118	56.656	10917494	1621.693598
1967	118	59.942	12617009	2143.540609
1972	118	63.983	14781241	3701.621503
1977	118	67.159	16325320	4106.301249
1982	118	69.1	17647518	4106.525293
1987	118	70.647	19067554	4106.492315
1992	118	69.978	20711375	3726.063507
1997	118	67.727	21585105	1690.756814
2002	118	66.662	22215365	1646.758151
2007	118	67.297	23301725	1593.06548
1952	119	47.453	20947571	1030.592226
1957	119	52.681	22611552	1487.593537
1962	119	55.292	26420307	1536.344387
1967	119	57.716	30131000	2029.228142
1972	119	62.612	33505000	3030.87665
1977	119	64.766	36436000	4657.22102
1982	119	67.123	39326000	5622.942464
1987	119	69.81	41622000	8533.088805
1992	119	72.244	43805450	12104.27872
1997	119	74.647	46173816	15993.52796
2002	119	77.045	47969150	19233.98818
2007	119	78.623	49044790	23348.13973
1952	120	55.565	160000	108382.3529
1957	120	58.033	212846	113523.1329
1962	120	60.47	358266	95458.11176
1967	120	64.624	575003	80894.88326
1972	120	67.712	841934	109347.867
1977	120	69.343	1140357	59265.47714
1982	120	71.309	1497494	31354.03573
1987	120	74.174	1891487	28118.42998
1992	120	75.19	1418095	34932.91959
1997	120	76.156	1765345	40300.619960000004
2002	120	76.904	2111561	35110.10566
2007	120	77.588	2505559	47306.98978
1952	124	55.928	1439529	4834.804067
1957	124	59.489	1647412	6089.786934
1962	124	62.094	1886848	5714.560611
1967	124	63.87	2186894	6006.983042
1972	124	65.421	2680018	7486.384341
1977	124	66.099	3115787	8659.696836
1982	124	66.983	3086876	7640.519521
1987	124	67.926	3089353	5377.091329
1992	124	69.292	3219994	6890.806854
1997	124	70.265	3430388	8754.96385
2002	124	71.028	3677780	9313.93883
2007	124	71.993	3921278	10461.05868
1952	125	42.138	748747	298.8462121
1957	125	45.047	813338	335.9971151
1962	125	47.747	893143	411.8006266
1967	125	48.492	996380	498.6390265
1972	125	49.767	1116779	496.5815922
1977	125	52.208	1251524	745.3695408
1982	125	55.078	1411807	797.2631074
1987	125	57.18	1599200	773.9932141
1992	125	59.685	1803195	977.4862725
1997	125	55.558	1982823	1186.147994
2002	125	44.593	2046772	1275.184575
2007	125	42.592	2012649	1569.331442
1952	126	38.48	863308	575.5729961
1957	126	39.486	975950	620.9699901
1962	126	40.502	1112796	634.1951625
1967	126	41.536	1279406	713.6036483
1972	126	42.614	1482628	803.0054535
1977	126	43.764	1703617	640.3224383
1982	126	44.852	1956875	572.1995694
1987	126	46.027	2269414	506.1138573
1992	126	40.802	1912974	636.6229191
1997	126	42.221	2200725	609.17395079999994
2002	126	43.753	2814651	531.4823679
2007	126	45.678	3193942	414.5073415
1952	127	42.723	1019729	2387.54806
1957	127	45.289	1201578	3448.284395
1962	127	47.808	1441863	6757.030816
1967	127	50.227	1759224	18772.75169
1972	127	52.773	2183877	21011.49721
1977	127	57.442	2721783	21951.21176
1982	127	62.155	3344074	17364.27538
1987	127	66.234	3799845	11770.5898
1992	127	68.755	4364501	9640.138501
1997	127	71.555	4759670	9467.446056
2002	127	72.737	5368585	9534.677467
2007	127	73.952	6036914	12057.49928
1952	132	36.681	4762912	1443.011715
1957	132	38.865	5181679	1589.20275
1962	132	40.848	5703324	1643.38711
1967	132	42.881	6334556	1634.047282
1972	132	44.851	7082430	1748.562982
1977	132	46.881	8007166	1544.228586
1982	132	48.969	9171477	1302.878658
1987	132	49.35	10568642	1155.441948
1992	132	52.214	12210395	1040.67619
1997	132	54.978	14165114	986.2958956
2002	132	57.286	16473477	894.6370822
2007	132	59.443	19167654	1044.770126
1952	133	36.256	2917802	369.1650802
1957	133	37.207	3221238	416.3698064
1962	133	38.41	3628608	427.9010856
1967	133	39.487	4147252	495.5147806
1972	133	41.766	4730997	584.6219709
1977	133	43.767	5637246	663.2236766
1982	133	45.642	6502825	632.8039209
1987	133	47.457	7824747	635.5173634
1992	133	49.42	10014249	563.2000145
1997	133	47.495	10419991	692.2758103
2002	133	45.009	11824495	665.4231186
2007	133	48.303	13327079	759.3499101
1952	134	48.463	6748378	1831.132894
1957	134	52.102	7739235	1810.066992
1962	134	55.737	8906385	2036.884944
1967	134	59.371	10154878	2277.742396
1972	134	63.01	11441462	2849.09478
1977	134	65.256	12845381	3827.921571
1982	134	68	14441916	4920.355951
1987	134	69.5	16331785	5249.802653
1992	134	70.693	18319502	7277.912802
1997	134	71.938	20476091	10132.90964
2002	134	73.044	22662365	10206.97794
2007	134	74.241	24821286	12451.6558
1952	136	33.685	3838168	452.3369807
1957	136	35.307	4241884	490.3821867
1962	136	36.936	4690372	496.1743428
1967	136	38.487	5212416	545.0098873
1972	136	39.977	5828158	581.3688761
1977	136	41.714	6491649	686.3952693
1982	136	43.916	6998256	618.0140641
1987	136	46.364	7634008	684.1715576
1992	136	48.388	8416215	739.014375
1997	136	49.903	9384984	790.2579846
2002	136	51.818	10580176	951.4097518
2007	136	54.467	12031795	1042.581557
1952	140	40.543	1022556	743.1159097
1957	140	42.338	1076852	846.1202613
1962	140	44.248	1146757	1055.896036
1967	140	46.289	1230542	1421.145193
1972	140	48.437	1332786	1586.851781
1977	140	50.852	1456688	1497.492223
1982	140	53.599	1622136	1481.150189
1987	140	56.145	1841240	1421.603576
1992	140	58.333	2119465	1361.369784
1997	140	60.43	2444741	1483.136136
2002	140	62.247	2828858	1579.019543
2007	140	64.164	3270065	1803.151496
1952	141	50.986	516556	1967.955707
1957	141	58.089	609816	2034.037981
1962	141	60.246	701016	2529.067487
1967	141	61.557	789309	2475.387562
1972	141	62.944	851334	2575.484158
1977	141	64.93	913025	3710.982963
1982	141	66.711	992040	3688.037739
1987	141	68.74	1042663	4783.586903
1992	141	69.745	1096202	6058.253846
1997	141	70.736	1149818	7425.705295
2002	141	71.954	1200206	9021.815894
2007	141	72.801	1250882	10956.99112
1952	143	50.789	30144317	3478.125529
1957	143	55.19	35015548	4131.546641
1962	143	58.299	41121485	4581.609385
1967	143	60.11	47995559	5754.733883
1972	143	62.361	55984294	6809.40669
1977	143	65.032	63759976	7674.929108
1982	143	67.405	71640904	9611.147541
1987	143	69.498	80122492	8688.156003
1992	143	71.455	88111030	9472.384295
1997	143	73.67	95895146	9767.29753
2002	143	74.902	102479927	10742.44053
2007	143	76.195	108700891	11977.57496
1952	147	42.244	800663	786.5668575
1957	147	45.248	882134	912.6626085
1962	147	48.251	1010280	1056.353958
1967	147	51.253	1149500	1226.04113
1972	147	53.754	1320500	1421.741975
1977	147	55.491	1528000	1647.511665
1982	147	57.489	1756032	2000.603139
1987	147	60.222	2015133	2338.008304
1992	147	61.271	2312802	1785.402016
1997	147	63.625	2494803	1902.2521
2002	147	65.033	2674234	2140.739323
2007	147	66.803	2874127	3095.772271
1952	148	59.164	413834	2647.585601
1957	148	61.448	442829	3682.259903
1962	148	63.728	474528	4649.593785
1967	148	67.178	501035	5907.850937
1972	148	70.636	527678	7778.414017
1977	148	73.066	560073	9595.929905
1982	148	74.101	562548	11222.58762
1987	148	74.865	569473	11732.51017
1992	148	75.435	621621	7003.339037
1997	148	75.445	692651	6465.613349
2002	148	73.981	720230	6557.194282
2007	148	74.543	684736	9253.896111
1952	150	42.873	9939217	1688.20357
1957	150	45.423	11406350	1642.002314
1962	150	47.924	13056604	1566.353493
1967	150	50.335	14770296	1711.04477
1972	150	52.862	16660670	1930.194975
1977	150	55.73	18396941	2370.619976
1982	150	59.65	20198730	2702.620356
1987	150	62.677	22987397	2755.046991
1992	150	65.393	25798239	2948.047252
1997	150	67.66	28529501	2982.101858
2002	150	69.615	31167783	3258.495584
2007	150	71.164	33757175	3820.17523
1952	151	31.286	6446316	468.5260381
1957	151	33.779	7038035	495.5868333
1962	151	36.161	7788944	556.6863539
1967	151	38.113	8680909	566.6691539
1972	151	40.328	9809596	724.9178037
1977	151	42.495	11127868	502.3197334
1982	151	42.795	12587223	462.2114149
1987	151	42.861	12891952	389.8761846
1992	151	44.284	13160731	410.8968239
1997	151	46.344	16603334	472.3460771
2002	151	44.026	18473780	633.6179466
2007	151	42.082	19951656	823.6856205
1952	152	36.319	20092996	331
1957	152	41.905	21731844	350
1962	152	45.108	23634436	388
1967	152	49.379	25870271	349
1972	152	53.07	28466390	357
1977	152	56.059	31528087	371
1982	152	58.056	34680442	424
1987	152	58.339	38028578	385
1992	152	59.32	40546538	347
1997	152	60.328	43247867	415
2002	152	59.908	45598081	611
2007	152	62.069	47761980	944
1952	153	41.725	485831	2423.780443
1957	153	45.226	548080	2621.448058
1962	153	48.386	621392	3173.215595
1967	153	51.159	706640	3793.694753
1972	153	53.867	821782	3746.080948
1977	153	56.437	977026	3876.485958
1982	153	58.968	1099010	4191.100511
1987	153	60.835	1278184	3693.731337
1992	153	61.999	1554253	3804.537999
1997	153	58.909	1774766	3899.52426
2002	153	51.479	1972153	4072.324751
2007	153	52.906	2055080	4811.060429
1952	155	36.157	9182536	545.8657229
1957	155	37.686	9682338	597.9363558
1962	155	39.393	10332057	652.3968593
1967	155	41.472	11261690	676.4422254
1972	155	43.971	12412593	674.7881296
1977	155	46.748	13933198	694.1124398
1982	155	49.594	15796314	718.3730947
1987	155	52.537	17917180	775.6324501
1992	155	55.727	20326209	897.7403604
1997	155	59.426	23001113	1010.892138
2002	155	61.34	25873917	1057.206311
2007	155	63.785	28901790	1091.359778
1952	156	72.13	10381988	8941.571858
1957	156	72.99	11026383	11276.19344
1962	156	73.23	11805689	12790.84956
1967	156	73.82	12596822	15363.25136
1972	156	73.75	13329874	18794.74567
1977	156	75.24	13852989	21209.0592
1982	156	76.05	14310401	21399.46046
1987	156	76.83	14665278	23651.32361
1992	156	77.42	15174244	26790.94961
1997	156	78.03	15604464	30246.13063
2002	156	78.53	16122830	33724.75778
2007	156	79.762	16570613	36797.93332
1952	158	69.39	1994794	10556.57566
1957	158	70.26	2229407	12247.39532
1962	158	71.24	2488550	13175.678
1967	158	71.52	2728150	14463.91893
1972	158	71.89	2929100	16046.03728
1977	158	72.22	3164900	16233.7177
1982	158	73.84	3210650	17632.4104
1987	158	74.32	3317166	19007.19129
1992	158	76.33	3437674	18363.32494
1997	158	77.55	3676187	21050.41377
2002	158	79.11	3908037	23189.80135
2007	158	80.204	4115771	25185.00911
1952	159	42.314	1165790	3112.363948
1957	159	45.432	1358828	3457.415947
1962	159	48.632	1590597	3634.364406
1967	159	51.884	1865490	4643.393534
1972	159	55.151	2182908	4688.593267
1977	159	57.47	2554598	5486.371089
1982	159	59.298	2979423	3470.338156
1987	159	62.008	3344353	2955.984375
1992	159	65.843	4017939	2170.151724
1997	159	68.426	4609572	2253.023004
2002	159	70.836	5146848	2474.548819
2007	159	72.899	5675356	2749.320965
1952	160	37.444	3379468	761.879376
1957	160	38.598	3692184	835.5234025
1962	160	39.487	4076008	997.7661127
1967	160	40.118	4534062	1054.384891
1972	160	40.546	5060262	954.2092363
1977	160	41.291	5682086	808.8970728
1982	160	42.598	6437188	909.7221354
1987	160	44.555	7332638	668.3000228
1992	160	47.391	8392818	581.182725
1997	160	51.313	9666252	580.3052092
2002	160	54.496	11140655	601.0745012
2007	160	56.867	12894865	619.6768924
1952	161	36.324	33119096	1077.281856
1957	161	37.802	37173340	1100.592563
1962	161	39.36	41871351	1150.927478
1967	161	41.04	47287752	1014.514104
1972	161	42.821	53740085	1698.388838
1977	161	44.514	62209173	1981.951806
1982	161	45.826	73039376	1576.97375
1987	161	46.886	81551520	1385.029563
1992	161	47.472	93364244	1619.848217
1997	161	47.464	106207839	1624.941275
2002	161	46.608	119901274	1615.286395
2007	161	46.859	135031164	2013.977305
1952	166	72.67	3327728	10095.42172
1957	166	73.44	3491938	11653.97304
1962	166	73.47	3638919	13450.40151
1967	166	74.08	3786019	16361.87647
1972	166	74.34	3933004	18965.05551
1977	166	75.37	4043205	23311.34939
1982	166	75.97	4114787	26298.63531
1987	166	75.89	4186147	31540.9748
1992	166	77.32	4286357	33965.66115
1997	166	78.32	4405672	41283.16433
2002	166	79.05	4535591	44683.97525
2007	166	80.196	4627926	49357.19017
1952	167	37.578	507833	1828.230307
1957	167	40.08	561977	2242.746551
1962	167	43.165	628164	2924.638113
1967	167	46.988	714775	4720.942687
1972	167	52.143	829050	10618.03855
1977	167	57.367	1004533	11848.34392
1982	167	62.728	1301048	12954.79101
1987	167	67.734	1593882	18115.22313
1992	167	71.197	1915208	18616.70691
1997	167	72.499	2283635	19702.05581
2002	167	74.193	2713462	19774.83687
2007	167	75.64	3204897	22316.19287
1952	168	43.436	41346560	684.5971438
1957	168	45.557	46679944	747.0835292
1962	168	47.67	53100671	803.3427418
1967	168	49.8	60641899	942.4082588
1972	168	51.929	69325921	1049.938981
1977	168	54.043	78152686	1175.921193
1982	168	56.158	91462088	1443.429832
1987	168	58.245	105186881	1704.686583
1992	168	60.838	120065004	1971.829464
1997	168	61.818	135564834	2049.350521
2002	168	63.61	153403524	2092.712441
2007	168	65.483	169270617	2605.94758
1952	171	55.191	940080	2480.380334
1957	171	59.201	1063506	2961.800905
1962	171	61.817	1215725	3536.540301
1967	171	64.071	1405486	4421.009084
1972	171	66.216	1616384	5364.249663
1977	171	68.681	1839782	5351.912144
1982	171	70.472	2036305	7009.601598
1987	171	71.523	2253639	7034.779161
1992	171	72.462	2484997	6618.74305
1997	171	73.738	2734531	7113.692252
2002	171	74.712	2990875	7356.031934
2007	171	75.537	3242173	9809.185636
1952	173	62.649	1555876	1952.308701
1957	173	63.196	1770902	2046.154706
1962	173	64.361	2009813	2148.027146
1967	173	64.951	2287985	2299.376311
1972	173	65.815	2614104	2523.337977
1977	173	66.353	2984494	3248.373311
1982	173	66.874	3366439	4258.503604
1987	173	67.378	3886512	3998.875695
1992	173	68.225	4483945	4196.411078
1997	173	69.4	5154123	4247.400261
2002	173	70.755	5884491	3783.674243
2007	173	71.752	6667147	4172.838464
1952	174	43.902	8025700	3758.523437
1957	174	46.263	9146100	4245.256698
1962	174	49.096	10516500	4957.037982
1967	174	51.445	12132200	5788.09333
1972	174	55.448	13954700	5937.827283
1977	174	58.447	15990099	6281.290855
1982	174	61.406	18125129	6434.501797
1987	174	64.134	20195924	6360.9434440000005
1992	174	66.458	22430449	4446.380924
1997	174	68.386	24748122	5838.347657
2002	174	69.906	26769436	5909.020073
2007	174	71.421	28674757	7408.905561
1952	175	47.752	22438691	1272.880995
1957	175	51.334	26072194	1547.944844
1962	175	54.757	30325264	1649.552153
1967	175	56.393	35356600	1814.12743
1972	175	58.065	40850141	1989.37407
1977	175	60.06	46850962	2373.204287
1982	175	62.082	53456774	2603.273765
1987	175	64.151	60017788	2189.634995
1992	175	66.458	67185766	2279.324017
1997	175	68.564	75012988	2536.534925
2002	175	70.303	82995088	2650.921068
2007	175	71.688	91077287	3190.481016
1952	177	61.31	25730551	4029.329699
1957	177	65.77	28235346	4734.253019
1962	177	67.64	30329617	5338.752143
1967	177	69.61	31785378	6557.152776
1972	177	70.85	33039545	8006.506993
1977	177	70.67	34621254	9508.141454
1982	177	71.32	36227381	8451.531004
1987	177	70.98	37740710	9082.351172
1992	177	70.99	38370697	7738.881247
1997	177	72.75	38654957	10159.58368
2002	177	74.67	38625976	12002.23908
2007	177	75.563	38518241	15389.92468
1952	178	59.82	8526050	3068.319867
1957	178	61.51	8817650	3774.571743
1962	178	64.39	9019800	4727.954889
1967	178	66.6	9103000	6361.517993
1972	178	69.26	8970450	9022.247417
1977	178	70.41	9662600	10172.48572
1982	178	72.77	9859650	11753.84291
1987	178	74.06	9915289	13039.30876
1992	178	74.86	9927680	16207.26663
1997	178	75.97	10156415	17641.03156
2002	178	77.29	10433867	19970.90787
2007	178	78.098	10642836	20509.64777
1952	179	64.28	2227000	3081.959785
1957	179	68.54	2260000	3907.156189
1962	179	69.62	2448046	5108.34463
1967	179	71.1	2648961	6929.277714
1972	179	72.16	2847132	9123.041742
1977	179	73.44	3080828	9770.524921
1982	179	73.75	3279001	10330.98915
1987	179	74.63	3444468	12281.34191
1992	179	73.911	3585176	14641.58711
1997	179	74.917	3759430	16999.4333
2002	179	77.778	3859606	18855.60618
2007	179	78.746	3942491	19328.70901
1952	184	52.724	257700	2718.885295
1957	184	55.09	308700	2769.451844
1962	184	57.666	358900	3173.72334
1967	184	60.542	414024	4021.175739
1972	184	64.274	461633	5047.658563
1977	184	67.064	492095	4319.804067
1982	184	69.885	517810	5267.219353
1987	184	71.913	562035	5303.377488
1992	184	73.615	622191	6101.255823
1997	184	74.772	684810	6071.941411
2002	184	75.744	743981	6316.1652
2007	184	76.442	798094	7670.122558
1952	181	61.05	16630000	3144.613186
1957	181	64.1	17829327	3943.370225
1962	181	66.8	18680721	4734.997586
1967	181	66.8	19284814	6470.866545
1972	181	69.21	20662648	8011.414402
1977	181	69.46	21658597	9356.39724
1982	181	69.66	22356726	9605.314053
1987	181	69.53	22686371	9696.273295
1992	181	69.36	22797027	6598.409903
1997	181	69.72	22562458	7346.547557
2002	181	71.322	22404337	7885.360081
2007	181	72.476	22276056	10808.47561
1952	183	40	2534927	493.3238752
1957	183	41.5	2822082	540.2893983
1962	183	43	3051242	597.4730727
1967	183	44.1	3451079	510.9637142
1972	183	44.6	3992121	590.5806638
1977	183	45	4657072	670.0806011
1982	183	46.218	5507565	881.5706467
1987	183	44.02	6349365	847.991217
1992	183	23.599	7290203	737.0685949
1997	183	36.087	7212583	589.9445051
2002	183	43.413	7852401	785.6537648
2007	183	46.242	8860588	863.0884639
1952	194	46.471	60011	879.5835855
1957	194	48.945	61325	860.7369026
1962	194	51.893	65345	1071.551119
1967	194	54.425	70787	1384.840593
1972	194	56.48	76595	1532.985254
1977	194	58.55	86796	1737.561657
1982	194	60.351	98593	1890.218117
1987	194	61.728	110812	1516.525457
1992	194	62.742	125911	1428.777814
1997	194	63.306	145608	1339.076036
2002	194	64.337	170372	1353.09239
2007	194	65.528	199579	1598.435089
1952	195	39.875	4005677	6459.554823
1957	195	42.868	4419650	8157.591248
1962	195	45.914	4943029	11626.41975
1967	195	49.901	5618198	16903.04886
1972	195	53.886	6472756	24837.42865
1977	195	58.69	8128505	34167.7626
1982	195	63.012	11254672	33693.17525
1987	195	66.295	14619745	21198.26136
1992	195	68.768	16945857	24841.61777
1997	195	70.533	21229759	20586.69019
2002	195	71.626	24501530	19014.54118
2007	195	72.777	27601038	21654.83194
1952	196	37.278	2755589	1450.356983
1957	196	39.329	3054547	1567.653006
1962	196	41.454	3430243	1654.988723
1967	196	43.563	3965841	1612.404632
1972	196	45.815	4588696	1597.712056
1977	196	48.879	5260855	1561.769116
1982	196	52.379	6147783	1518.479984
1987	196	55.769	7171347	1441.72072
1992	196	58.196	8307920	1367.899369
1997	196	60.187	9535314	1392.368347
2002	196	61.6	10870037	1519.635262
2007	196	63.062	12267493	1712.472136
1952	197	57.996	6860147	3581.459448
1957	197	61.685	7271135	4981.090891
1962	197	64.531	7616060	6289.629157
1967	197	66.914	7971222	7991.707066
1972	197	68.7	8313288	10522.06749
1977	197	70.3	8686367	12980.66956
1982	197	70.162	9032824	15181.0927
1987	197	71.218	9230783	15870.87851
1992	197	71.659	9826397	9325.068238
1997	197	72.232	10336594	7914.320304
2002	197	73.213	10111559	7236.075251
2007	197	74.002	10150265	9786.534714
1952	199	30.331	2143249	879.7877358
1957	199	31.57	2295678	1004.484437
1962	199	32.767	2467895	1116.639877
1967	199	34.113	2662190	1206.043465
1972	199	35.4	2879013	1353.759762
1977	199	36.788	3140897	1348.285159
1982	199	38.445	3464522	1465.010784
1987	199	40.006	3868905	1294.447788
1992	199	38.333	4260884	1068.696278
1997	199	39.897	4578212	574.6481576
2002	199	41.012	5359092	699.489713
2007	199	42.568	6144562	862.5407561
1952	200	60.396	1127000	2315.138227
1957	200	63.179	1445929	2843.104409
1962	200	65.798	1750200	3674.735572
1967	200	67.946	1977600	4977.41854
1972	200	69.521	2152400	8597.756202
1977	200	70.795	2325300	11210.08948
1982	200	71.76	2651869	15169.16112
1987	200	73.56	2794552	18861.53081
1992	200	75.788	3235865	24769.8912
1997	200	77.158	3802309	33519.4766
2002	200	78.77	4197776	36023.1054
2007	200	79.972	4553009	47143.17964
1952	202	64.36	3558137	5074.659104
1957	202	67.45	3844277	6093.26298
1962	202	70.33	4237384	7481.107598
1967	202	70.98	4442238	8412.902397
1972	202	70.35	4593433	9674.167626
1977	202	70.45	4827803	10922.66404
1982	202	70.8	5048043	11348.54585
1987	202	71.08	5199318	12037.26758
1992	202	71.38	5302888	9498.467723
1997	202	72.71	5383010	12126.23065
2002	202	73.8	5410052	13638.77837
2007	202	74.663	5447502	18678.31435
1952	203	65.57	1489518	4215.041741
1957	203	67.85	1533070	5862.276629
1962	203	69.15	1582962	7402.303395
1967	203	69.18	1646912	9405.489397
1972	203	69.82	1694510	12383.4862
1977	203	70.97	1746919	15277.03017
1982	203	71.063	1861252	17866.72175
1987	203	72.25	1945870	18678.53492
1992	203	73.64	1999210	14214.71681
1997	203	75.13	2011612	17161.10735
2002	203	76.66	2011497	20660.01936
2007	203	77.926	2009245	25768.25759
1952	205	32.978	2526994	1135.749842
1957	205	34.977	2780415	1258.147413
1962	205	36.981	3080153	1369.488336
1967	205	38.977	3428839	1284.73318
1972	205	40.973	3840161	1254.576127
1977	205	41.974	4353666	1450.992513
1982	205	42.955	5828892	1176.807031
1987	205	44.501	6921858	1093.244963
1992	205	39.658	6099799	926.9602964
1997	205	43.795	6633514	930.5964284
2002	205	45.936	7753310	882.0818218
2007	205	48.159	9118773	926.1410683
1952	206	45.009	14264935	4725.295531
1957	206	47.985	16151549	5487.104219
1962	206	49.951	18356657	5768.729717
1967	206	51.927	20997321	7114.477971
1972	206	53.696	23935810	7765.962636
1977	206	55.527	27129932	8028.651439
1982	206	58.161	31140029	8568.266228
1987	206	60.834	35933379	7825.823398
1992	206	61.888	39964159	7225.069258
1997	206	60.236	42835005	7479.188244
2002	206	53.365	44433622	7710.946444
2007	206	49.339	43997828	9269.657808
1952	209	64.94	28549870	3834.034742
1957	209	66.66	29841614	4564.80241
1962	209	69.69	31158061	5693.843879
1967	209	71.44	32850275	7993.512294
1972	209	73.06	34513161	10638.75131
1977	209	74.39	36439000	13236.92117
1982	209	76.3	37983310	13926.16997
1987	209	76.9	38880702	15764.98313
1992	209	77.57	39549438	18603.06452
1997	209	78.77	39855442	20445.29896
2002	209	79.78	40152517	24835.47166
2007	209	80.941	40448191	28821.0637
1952	210	57.593	7982342	1083.53203
1957	210	61.456	9128546	1072.546602
1962	210	62.192	10421936	1074.47196
1967	210	64.266	11737396	1135.514326
1972	210	65.042	13016733	1213.39553
1977	210	65.949	14116836	1348.775651
1982	210	68.757	15410151	1648.079789
1987	210	69.011	16495304	1876.766827
1992	210	70.379	17587060	2153.739222
1997	210	70.457	18698655	2664.477257
2002	210	70.815	19576783	3015.378833
2007	210	72.396	20378239	3970.095407
1952	211	38.635	8504667	1615.991129
1957	211	39.624	9753392	1770.337074
1962	211	40.87	11183227	1959.593767
1967	211	42.858	12716129	1687.997641
1972	211	45.083	14597019	1659.652775
1977	211	47.8	17104986	2202.988423
1982	211	50.338	20367053	1895.544073
1987	211	51.744	24725960	1507.819159
1992	211	53.556	28227588	1492.197043
1997	211	55.373	32160729	1632.210764
2002	211	56.369	37090298	1993.398314
2007	211	58.556	42292929	2602.394995
1952	70	41.407	290243	1148.376626
1957	70	43.424	326741	1244.708364
1962	70	44.992	370006	1856.182125
1967	70	46.633	420690	2613.101665
1972	70	49.552	480105	3364.836625
1977	70	52.537	551425	3781.410618
1982	70	55.561	649901	3895.384018
1987	70	57.678	779348	3984.839812
1992	70	58.474	962344	3553.0224
1997	70	54.289	1054486	3876.76846
2002	70	43.869	1130269	4128.116943
2007	70	39.613	1133066	4513.480643
1952	214	71.86	7124673	8527.844662
1957	214	72.49	7363802	9911.878226
1962	214	73.37	7561588	12329.44192
1967	214	74.16	7867931	15258.29697
1972	214	74.72	8122293	17832.02464
1977	214	75.44	8251648	18855.72521
1982	214	76.42	8325260	20667.38125
1987	214	77.19	8421403	23586.92927
1992	214	78.16	8718867	23880.01683
1997	214	79.39	8897619	25266.59499
2002	214	80.04	8954175	29341.63093
2007	214	80.884	9031088	33859.74835
1952	215	69.62	4815000	14734.23275
1957	215	70.56	5126000	17909.48973
1962	215	71.32	5666000	20431.0927
1967	215	72.77	6063000	22966.14432
1972	215	73.78	6401400	27195.11304
1977	215	75.39	6316424	26982.29052
1982	215	76.21	6468126	28397.71512
